DOH
Doha
Qatar
2011,1,1,21,14
2011,1,2,20,15
2011,1,3,24,13
2011,1,4,25,14
2011,1,5,20,13
2011,1,6,20,14
2011,1,7,20,17
2011,1,8,23,14
2011,1,9,25,13
2011,1,10,23,12
2011,1,11,23,14
2011,1,12,22,10
2011,1,13,18,7
2011,1,14,24,17
2011,1,15,26,8
2011,1,16,19,12
2011x,1,17,20,17
2011,1x,18,22,8
2011,1,19x,24,12
2011,1,20,20x,15
2011,1,21,27,9x
2011,1,22,24,8
2011,1,23,17,9
2011,1,24,21,12
2011,1,25,21,17
2011,1,26,20,13
2011,1,27,26,8
2011,1,28,25,16
2011,1,29,21,16
2011,1,30,22,7
2011,1,31,17,8
2011,2,1,26,15
2011,2,2,28,9
2011,2,3,23,12
2011,2,4,20,19
2011,2,5,18,15
2011,2,6,23,8
2011,2,7,25,10
2011,2,8,23,13
2011,2,9,18,13
2011,2,10,19,10
2011,2,11,21,16
2011,2,12,29,12
2011,2,13,28,12
2011,2,14,23,18
2011,2,15,19,13
2011,2,16,28,15
2011,2,17,25,14
2011,2,18,26,13
2011,2,19,29,12
2011,2,20,24,17
2011,2,21,25,7
2011,2,22,27,11
2011,2,23,25,13
2011,2,24,20,8
2011,2,25,19,14
2011,2,26,25,15
2011,2,27,26,8
2011,2,28,20,16
2011,3,1,31,14
2011,3,2,23,19
2011,3,3,31,15
2011,3,4,28,20
2011,3,5,26,22
2011,3,6,26,16
2011,3,7,29,15
2011,3,8,31,18
2011,3,9,28,14
2011,3,10,29,15
2011,3,11,31,13
2011,3,12,28,16
2011,3,13,23,12
2011,3,14,22,21
2011,3,15,31,18
2011,3,16,30,13
2011,3,17,26
2011,3,18
2011,3
2011
2011,3,21,28,15
2011,3,22,31,18
2011,3,23,25,18
2011,3,24,23,12
2011,3,25,25,13
2011,3,26,32,16
2011,3,27,24,17
2011,3,28,23,12
2011,3,29,27,21
2011,3,30,24,17
2011,3,31,32,20
2011,4,1,33,23
2011,4,2,32,19
2011,4,3,28,16
2011,4,4,28,22
2011,4,5,34,25
2011,4,6,30,25
2011,4,7,30,21
2011,4,8,36,19
2011,4,9,33,19
2011,4,10,29,26
2011,4,11,31,20
2011,4,12,29,22
2011,4,13,29,24
2011,4,14,27,21
2011,4,15,34,25
2011,4,16,30,24
2011,4,17,27,20
2011,4,18,36,18
2011,4,19,30,23
2011,4,20,36,24
2011,4,21,36,21
2011,4,22,33,16
2011,4,23,28,21
2011,4,24,37,17
2011,4,25,29,18
2011,4,26,34,17
2011,4,27,31,25
2011,4,28,35,22
2011,4,29,32,19
2011,4,30,33,25
2011,5,1,38,21
2011,5,2,38,25
2011,5,3,37,27
2011,5,4,41,30
2011,5,5,36,30
2011,5,6,43,24
2011,5,7,38,25
2011,5,8,34,22
2011,5,9,44,29
2011,5,10,32,28
2011,5,11,42,23
2011,5,12,36,23
2011,5,13,34,21
2011,5,14,32,27
2011,5,15,36,27
2011,5,16,35,25
-2011,5,17,35,23
2011,25,18,37,28
2011,5,49,34,27
2011,5,20,41,21
2011,5,21,42,27
2011,5,22,38,28
2011,5,23,32,21
2011,5,24,36,24
2011,5,25,40,28
2011,5,26,36,21
2011,5,27,35,24
2011,5,28,43,29
2011,5,29,38,28
2011,5,30,44,22
2011,5,31,39,21
2011,6,1,40,30
2011,6,2,42,24
2011,6,3,39,27
2011,6,4,42,26
2011,6,5,39,24
2011,6,6,37,27
2011,6,7,39,30
2011,6,8,44,27
2011,6,9,37,25
2011,6,10,36,29
2011,6,11,38,28
2011,6,12,43,24
2011,6,13,43,25
2011,6,14,42,31
2011,6,15,37,30
2011,6,16,44,30
2011,6,17,42,26
2011,6,18,39,33
2011,6,19,39,28
2011,6,20,44,31
2011,6,21,36,29
2011,6,22,39,31
2011,6,23,40,26
2011,6,24,45,28
2011,6,25,39,26
2011,6,26,39,25
2011,6,27,45,29
2011,6,28,41,25
2011,6,29,45,27
2011,6,30,36,31
2011,7,1,41,28
2011,7,2,41,27
2011,7,3,41,28
2011,7,4,44,28
2011,7,5,44,28
2011,7,6,38,26
2011,7,7,39,32
2011,7,8,43,33
2011,7,9,43,31
2011,7,10,42,24
2011,7,11,43,28
2011,7,12,40,32
2011,7,13,39,27
2011,7,14,38,33
2011,7,15,39,29
